customer_text,support_response,suggested_intent,intent,escalation,escalation_reason
iOS 11.1.2 draining battery life. Last almost a day from full charge. Half as long when compared to previous iOS. Please sort.,2911734,BATTERY_POWER,,,
Because nowadays we pay $800+ for phones to last us 2 years. There's so many battery issues and now it's charging without a charger.,2942126,BATTERY_POWER,,,
"what is the official recommendation for leaving an iPhone X on a wireless charging pad (like in a desk set up) for extended periods of time? Is it bad for the battery to be constantly topped off, or is charger/phone smart? Looking at the Mophie in the Apple Store.",2485674,BATTERY_POWER,,,
11.0.3 giving me feeling like i'm using android phone..battery draining too fast as compared to ios 10.3.3. gets hot when put on charge. IOS 10.3.3 was best according to me. using iphone se,2121055,BATTERY_POWER,,,
"My computer charger doesn't work very well (the cord was chewed by my cat) only works if the cord is held at a specific angle, and if it disconnects my computer just shuts off. But I can turn it back on and it's capable of running on battery power for a few hours. whyyyyyy",2425815,BATTERY_POWER,,,
"I have a problem with the iPhone X battery, when I charge it .. Charging for very little time. What is the solution?",2812628,BATTERY_POWER,,,
My iPhone takes forever to charge but the battery dies within an hour or 2?,2680020,BATTERY_POWER,,,
when getting a new iphone what is the best thing to do for the battery? use it till it fully dies than full charge or charge fully before use? or?,2147785,BATTERY_POWER,,,
"charged my iPhone around 12:30am with 35% woke up this morning, DRAINED MY BATTERY INSTEAD OF CHARGING IT!! #FixThisASAP",1829193,BATTERY_POWER,,,
"Not what was wrong. I reset phone, holding power and volume, more than 3 times. Then my phone went from 100% battery to 10% & dying in 3hrs. I didn’t plug charger letting it drain. Plugged in charger, it started charging and now it’s not locking me out",553474,BATTERY_POWER,,,
"IOS 11.1.2 battery draining is shitting on me. My iPhone 6S’ battery literally goes from 70% to 30% in minutes, and to make it worse, it takes over 4 hours to fully charge.",146683,BATTERY_POWER,,,
My phone was sitting off the charger all night and went from 99% to 52%. Ok why is the battery dying like this after the iOS 11 update.,2246693,BATTERY_POWER,,,
"#ios11 battery drain issue is horrific, my iphone 7 is draining fast even on low power mode. #iphonebatterydrain",332490,BATTERY_POWER,,,
Basic guys! Basic! iOS 11.0.2 is draining the battery even while charging. Why? Battery life is the most important thing.,428356,BATTERY_POWER,,,
What did i wrong? Any version of ios 11 drains my battery. I have to charge It twice a day. Apple please....,50073,BATTERY_POWER,,,
"Hey , when are you gonna fix the battery draining issue from the new update? My phone is dying faster than it’s charging 🙄",2076301,BATTERY_POWER,,,
