tweet_id,customer_query,generated_response,Groundedness,Relevance,Actionability,Safety,Tone,Policy Constraints,Overall Quality
2975694,Why does my iPad keep asking me to sign into iCloud every 30 seconds but when I put in my NEWLY changed password it tells me it is incorrect!!! WTF...I can't even use it right now!,"We're here to help you access and manage your Apple ID securely. We want you to get the most out of iCloud on your iPad, so let's get to it. Which model do you have and what's the exact iOS version number installed? Let us know how it goes!",4.0,3.0,2.0,5.0,3.0,Pass,3.0
2369448,"Yes I can login to appleid without any issue, icloud still go no.","We can help with both your Apple ID / iCloud account and apps and media. First, where are you currently located? Let us know how that goes, and we can look into the apps and media next!",3.0,2.0,2.0,5.0,2.0,Pass,2.0
249189,"I changed my AppleID login & pass, but can't sign into the app store on my iPhone 7. My iPad didn't have this problem.","We can help with both your Apple ID / iCloud account and apps and media. First, we are here to help. let's restart the device. Let us know how that goes, and we can look into the apps and media next!",4.0,4.0,4.0,5.0,3.0,Pass,4.0
2058730,My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,"We can help with both your Apple ID / iCloud account and account security. First, we’ll be glad to offer assistance. to clarify, is your apple id locked, or are you attempting to disable activation lock? Let us know how that goes, and we can look into the account security next!",3.0,2.0,2.0,4.0,3.0,Pass,2.0
118068,someone tell me why i can’t airdrop videos from my phone to my laptop or why the photos app won’t pop up when i plug my phone into my laptop?! i need to transfer vlog footage 🤬🤬🤬 pls help me,"We can help with both your apps and media and Wi-Fi/network connectivity. First, we'd be happy to see how we can help with airdrop and transferring your videos. to start, can you tell us which iphone and ios version you're using?",4.0,4.0,3.0,5.0,3.0,Pass,4.0
1332418,why are entire albums in my Apple Music lists suddenly either greying out or disappearing from iTunes altogether? Copyright?,We can help you get your apps running properly. Have you recently changed the iTunes Store you're signed in to? Were the songs downloaded for offline play? Let us know how it goes!,4.0,4.0,3.0,5.0,3.0,Pass,3.0
1147023,Hello Facebook application is consuming a lot of battery is glad you find a solution for it,"We can help with both your apps and media and battery life. First, ok the battery lasts 10 hours with no use. what percentage is facebook using? Let us know how that goes, and we can look into the battery life next!",2.0,3.0,2.0,5.0,2.0,Pass,2.0
1646233,why can’t I click on and listen to songs from my iTunes library all of a sudden? Keep being promoted to join Apple Music,"We can help you get your apps running properly. What happens if you select not now? Also, which device and iOS version are you using? Let us know how it goes!",4.0,4.0,3.0,5.0,4.0,Pass,4.0
2942126,Because nowadays we pay $800+ for phones to last us 2 years. There's so many battery issues and now it's charging without a charger.,"We can help with both your battery life and billing and purchases. First, we'll be glad to check your service options. shoot us a dm and tell us which country you're located in: Let us know how that goes, and we can look into the billing and purchases next!",3.0,3.0,3.0,5.0,3.0,Pass,3.0
2485674,"what is the official recommendation for leaving an iPhone X on a wireless charging pad (like in a desk set up) for extended periods of time? Is it bad for the battery to be constantly topped off, or is charger/phone smart? Looking at the Mophie in the Apple Store.","We can help with both your battery life and apps and media. First, great question. we suggest following this recommendation. Let us know how that goes, and we can look into the apps and media next!",2.0,2.0,1.0,5.0,2.0,Pass,1.0
2121055,11.0.3 giving me feeling like i'm using android phone..battery draining too fast as compared to ios 10.3.3. gets hot when put on charge. IOS 10.3.3 was best according to me. using iphone se,"We provide support for Apple products and services. For help with Android, please contact the manufacturer's official support team. Let us know if you need help with an Apple device!",3.0,1.0,1.0,4.0,3.0,Pass,1.0
2646254,"hey, got two lost phone calls from (512) 674-2000 that is you right?","We know staying connected is essential, and we're here to help. Thanks for taking the time to reach out. We know it's important to be able to identify legitimate phone calls and we're here to get you pointed in the right direction. Let us know how it goes!",3.0,2.0,1.0,4.0,3.0,Pass,2.0
2799476,"#Siri and I have always had issues. I was driving and I told her to call someone. No, she didn’t call the person on the phone. She kept calling out the person’s name over and over and over. She is such a smart aleck.","We know staying connected is essential, and we're here to help. We know how important it is to get Siri to work correctly. Here's a helpful article you can check out for this issue: Let us know how it goes!",2.0,4.0,1.0,5.0,3.0,Pass,2.0
2730325,good morning. My visual voicemail disappeared this morning and I’m now being asked to call my voicemail.,"We can help with both your calls and messaging and apps and media. First, we know how important visual voicemail is, and we'll do all we can to help. to get started, let us know in dm what type of device you're using and it's os version.",4.0,4.0,3.0,5.0,4.0,Pass,4.0
